date,massif,orientation,secteur,lat_depart,lon_depart,pente,activite
16 fevrier 2019 ,Belledonne,E,Grésivaudan ,45.28252,6.074538,35° sur 100 m,RAS
16 fevrier 2019 ,Chartreuse,SW,Grésivaudan ,45.29762,5.84279,40-45° sur 150 m,rien vu ce jour. Aucune coulée antérieure.
16 fevrier 2019 ,Devoluy,SW,Buech ,44.653,05.7264,S3/S4 sur 900m,RAS
16 fevrier 2019 ,Bauges,NE,Bauges Combe de Savoie ,45.68194,6.30472,35° max,"RAS, grosses coulées de fonte en versant sud est."
16 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SW,Vésubie ,44.11325,7.289471,moyenne 30° - surtout en descente,"GRAND BEAU ,RIEN A SIGNALER !!!"
16 fevrier 2019 ,Ecrins,NE,"Haute Durance, Briançonnais ",44.7870,06.5342,30° maxi,rien observé de récent
16 fevrier 2019 ,Bornes - Aravis,T,Borne-Fier ,45.9489,06.5114,40°/120m,RAS
16 fevrier 2019 ,Ecrins,S,Champsaur ,44.6891,06.1663,30°,RAS
16 fevrier 2019 ,Bornes - Aravis,NW,Borne-Fier ,46.0018,06.5408,35° max,RAS à part l'habituelle coulée à Sommier d'Aval.
16 fevrier 2019 ,Devoluy,NE,Devoluy ,44.6672,05.8579,30°,ras
16 fevrier 2019 ,Bornes - Aravis,S,Vallée de l'Arve ,45.9578,06.6100,45/50,RAS nombreuses pentes déjà bien purgées
16 fevrier 2019 ,Mont Blanc,N,Bas Valais - Chablais Vaudois ,46.0650,07.0184,"Départ 40/45°, passages 30/35° ensuite",ras
15 fevrier 2019 ,Andorre - Ariège,SE,,42.69937,1.81189,30°/100m,Ras conditions printanières.
15 fevrier 2019 ,Taillefer - Matheysine,W,Matheysine et périphériques ,45.0037,05.7983,35°/500,RAS
15 fevrier 2019 ,Belledonne,NE,Grésivaudan ,45.24319,5.979609,Passages à 45°,RAS
15 fevrier 2019 ,Beaufortain,E,Beaufortain ,45.6745,06.5436,"35°/200m, passages à 40°",RAS
15 fevrier 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",44.73,6.55,30 max,rien observé de récent
15 fevrier 2019 ,Belledonne,NW,Grésivaudan ,45.28252,6.074538,35 sur 100m et 40 sur 50,RAS
15 fevrier 2019 ,Belledonne,SW,Grésivaudan ,45.30685,6.08395,35° / 150m,ras
15 fevrier 2019 ,Massif Central,T,,45.58779,2.869094,30° à 40°,néant
15 fevrier 2019 ,Lauzière - Cheval Noir,S,Maurienne ,45.5387,06.3727,"37°/250m, passages à 40°","Rien vu ! La aussi, ce n'est pas tous les ans ! Ce qui n'empêche pas la prudence pour les jours suivants"
15 fevrier 2019 ,Devoluy,S,Devoluy ,44.6390,05.8476,30° maxi,ras
15 fevrier 2019 ,Couserans - Catalogne Ouest,NE,,42.67319,0.77595,<30°,néant
15 fevrier 2019 ,Belledonne,E,Oisans ,45.20321,6.04034,Faible,RAS;  déclenché quelques escargots vers 13h dans les pentes ensoleillées
15 fevrier 2019 ,Alpes Grées S,SW,Maurienne ,45.3150,6.9951,30°,"RAS sur la zone alpage et sommitale. Attention plus bas, ça a pas mal purgé."
15 fevrier 2019 ,Bauges,N,Bauges ,45.63847,6.19243,"45° sur 100m, 40° sur 300m.","quelques coulées sur les dalles de l'Arclusaz en face dans les expos Sud et Est, rien de particulier du côté Grand Parra, même si la Face Ouest doit chauffer l'après-midi (méfiance)"
15 fevrier 2019 ,Vercors,E,Trièves Dévoluy ,45.0189,05.6130,40 degrés max,rien de significatif à part quelques escargots
15 fevrier 2019 ,Tessin E - Adula - Grisons,S,,46.48622,8.83014,33° sur 200m,néant
14 fevrier 2019 ,Ecrins,N,Champsaur ,44.6937,06.3706,400 m à 35° avec passages à 40-45°,ras
14 fevrier 2019 ,Ecrins,N,"Haute Durance, Briançonnais ",44.75139,6.52917,"Passage à 50°, 40°/600m",RAS
14 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,W,Vallée de l'Arve ,46.0192,06.9198,45° sur 1000m,ras
14 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,T,Vésubie ,44.11996,7.27398,35° sur 150m,RAS
14 fevrier 2019 ,Belledonne,NE,Grésivaudan ,45.28252,6.074538,"Gros 45° sur 200m, Courts passages à 50.",RAS
14 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.29704,6.07915,45°/200m,RAS
14 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.43083,6.18167,40° sur 100m,"Ras, des escargots en face sud"
14 fevrier 2019 ,Chablais - Faucigny,SE,Faucigny ,46.1620,06.6187,30°,ras tout à l'air stable
14 fevrier 2019 ,Chablais - Faucigny,S,Faucigny ,46.0992,06.4383,max 30°,RAS
14 fevrier 2019 ,Lauzière - Cheval Noir,NE,Tarentaise ,45.6309,06.4248,30/35° soutenu très court 40° sous le sommet,"rien vu, anciennes coulées sous le sommet en NE, corniches"
14 fevrier 2019 ,Grandes Rousses - Arves,S,Maurienne ,45.28938,6.30873,30°,"RAS. La descente sur l’itinéraire rouge est en neige ramollie, attention aux coulés possibles."
14 fevrier 2019 ,Belledonne,E,Maurienne ,45.3863,6.2342,35° court (sous le sommet),"        Ras ce jour, mais le vallon chaufe vite."
14 fevrier 2019 ,Massif Central,T,,45.58779,2.869094,30° à 40°,néant
14 fevrier 2019 ,Chartreuse,E,Chartreuse ,45.2836,05.7126,30°/200m,Rien de rien
14 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.28252,6.074538,600 m à 35° passages à 40°,"manteau stable ras, la neige devient de moins en moins poudreuse, même en nord..."
14 fevrier 2019 ,Belledonne,NW,Grésivaudan ,45.2505,5.9930,Fin à 40°,RAS
14 fevrier 2019 ,Belledonne,NE,Maurienne ,45.29037,6.21708,très court 40°,Rien A Signaler
14 fevrier 2019 ,Belledonne,NE,Grésivaudan ,45.28252,6.074538,faible,RAS
14 fevrier 2019 ,Couserans - Catalogne Ouest,T,,42.72105,0.91404,final vers 35°,néant
14 fevrier 2019 ,Belledonne,NW,Grésivaudan ,45.43083,6.18167,Passages à 30°,aucune
14 fevrier 2019 ,Bornes - Aravis,N,Borne-Fier ,45.9231,06.4836,35°/150m,RAS sur l' itinéraire si ce n' est quelques purges de surfaces des pentes sud.
14 fevrier 2019 ,Vercors,NE,Trièves Dévoluy ,44.8596,05.5588,30° sur 200m,"RAS, quelques petites boules en sud avant le Pas des Bachassons, mais mineur"
14 fevrier 2019 ,Chartreuse,E,Chartreuse ,45.4093,5.8308,"40° sur 400m, pass à 45°",Rien vu
14 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SW,Vésubie ,44.11325,7.289471,30°/150m 35° max,Rien vu de suspect.
14 fevrier 2019 ,Bornes - Aravis,N,Vallée de l'Arve ,45.9578,06.6100,37° sur 500m,RAS
14 fevrier 2019 ,Belledonne,E,Grésivaudan ,45.14037,5.88762,40° sur 200 m (passages à 45°),"ras, mais des escargots se forment lors des petites coulées..."
14 fevrier 2019 ,Ecrins,W,Embrunais ,44.6153,06.3335,35° sur 500m,rien de bien significatif
14 fevrier 2019 ,Belledonne,NW,Grésivaudan ,45.14037,5.88762,40°,ras
14 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,T,Vallée de l'Arve ,45.9693,06.8750,40° sur 200m,ras
14 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.32596,6.047029,Faible,RAS
14 fevrier 2019 ,Bauges,NE,Combe de Savoie ,45.7363,06.3785,"39°/300m, passages à 45°.",RAS Quelques geules de baleines. Plusieurs purges au terrain déjà plus au sud direction Belle Etoile
14 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.14037,5.88762,50°/5m + 45°/350m + 40°/400m,ras
13 fevrier 2019 ,Grand Paradis,E,Val d'Aoste ,45.68837,6.96085,Petit mur à 35 ° d'env 150 m en face du restaurant d'altitud,RAS
13 fevrier 2019 ,Ecrins,W,Champsaur ,44.6937,06.3706,35° max,rien
13 fevrier 2019 ,Couserans - Catalogne Ouest,T,,42.62679,0.763074,<25° . 40° /45° sous le col . ,néant
13 fevrier 2019 ,Beaufortain,T,Beaufortain ,45.6756,06.5784,30°,rien
13 fevrier 2019 ,Belledonne,NW,Maurienne ,45.29037,6.21708,Passages à 30,RAS à part pas mal de plaque de surface parties dans tous les couloirs N et quelques petites purges dans les barres ensoleillées.
13 fevrier 2019 ,Mont Blanc,W,Vallée de l'Arve ,45.9784,6.9266,30,Une purge dans les pentes au soleil rive droite au-dessus du Glacier des Améthystes sinon RAS
13 fevrier 2019 ,Chartreuse,E,Combe de Savoie ,45.65869,5.85048,faible,RAS
13 fevrier 2019 ,Lauzière - Cheval Noir,T,Maurienne ,45.5387,06.3727,45/50° sur 150m,"RAS, quelques purges peu significatives en S"
13 fevrier 2019 ,Bornes - Aravis,NE,Borne-Fier ,45.8467,06.3151,max 35°,RAS. Aucune purge dans le secteur Rosairy ni sous les Tours (bien chargées) ...
13 fevrier 2019 ,Vercors,W,Vercors ,45.0715,05.5788,30-35°,RAS
13 fevrier 2019 ,Queyras - Alpes Cozie N,NW,Queyras ,44.7115,6.7432,Faible,RAS  un Wouff dans le bois avant le Col
13 fevrier 2019 ,Devoluy,SE,Devoluy ,44.6719,05.8567,30°/35° sur 300m,"ras, qq coulées de surface"
13 fevrier 2019 ,Chartreuse,T,Chartreuse ,45.39988,5.79938,Couloir à 35°,RAS; Fond très dur sous la neige du we
13 fevrier 2019 ,Chartreuse,T,Chartreuse ,45.39988,5.79938,Couloir à 35°,RAS; Fond très dur sous la neige du we
13 fevrier 2019 ,Taillefer - Matheysine,W,Matheysine et périphériques ,44.9834,05.8942,35°,RAS
13 fevrier 2019 ,Ecrins,W,Champsaur ,44.8040,06.1098,"33° sur 1300m, dont 40° sur 200m",Rien observé
13 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,45.8518,06.4118,25°,ras
13 fevrier 2019 ,Bornes - Aravis,T,Borne-Fier ,45.8108,06.3250,30-35°,RAS ce jour
13 fevrier 2019 ,Chartreuse,NE,Grésivaudan ,45.3559,05.9188,40°,"rien vu, risque 2 de chez risque 2 malgré une heure tardive"
13 fevrier 2019 ,Chartreuse,NE,Chartreuse ,45.35778,5.74426,40° max,"Ras, pas beaucoup de neige fraîche. Méfiance quand même en face Est de la Sure. Coulées entre les tunnels"
13 fevrier 2019 ,Bornes - Aravis,E,Borne-Fier ,45.81797,6.334638,35°/40° sur 400m.,"Rien vu, mais on a pris nos précautions sur le tracé à la montée."
13 fevrier 2019 ,Beaufortain,S,Tarentaise ,45.5914,06.7282,25°,RAS. Le travail du vent est visible au dessus de ~1900/2000m
13 fevrier 2019 ,Chartreuse,W,Chartreuse ,45.33112,5.84682,Court 45°,RAS
13 fevrier 2019 ,Ecrins,N,Embrunais ,44.6153,06.3335,35° sur 100 m,"Rien de récent sur l'itinéraire, juste de toutes petites coulées en sud."
13 fevrier 2019 ,Ecrins,T,"Haute Durance, Briançonnais ",44.7097,06.5693,pass. 45° ; 35°,ras
13 fevrier 2019 ,Ecrins,N,Embrunais ,44.6153,06.3335,40°/100m (45° court en haut),ras mais très chaud au soleil
13 fevrier 2019 ,Mont Blanc,W,Vallée de l'Arve ,45.9784,6.9266,30,ras
13 fevrier 2019 ,Bauges,NW,Bauges ,45.7137,06.2753,35-40° sur 200 m,rien ce matin
12 fevrier 2019 ,Vanoise,NE,Tarentaise ,45.37364,6.58126,faible 34°,rien vu
12 fevrier 2019 ,Lauzière - Cheval Noir,E,Tarentaise ,45.47123,6.41270,30° max.,RAS
12 fevrier 2019 ,Couserans - Catalogne Ouest,SE,,42.73015,0.96783,30° max,néant
12 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,W,Faucigny ,46.1125,06.7503,30°,rien vu du tout
12 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,S,,44.16382,7.91053,30°/200m 35° max,RAS
12 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,N,Ubaye ,44.45144,6.844782,30° sur 350m (35° maxi),"RAS, meme pas de wouf, peu de décrochages hormis vers Col de Larche (faces N de la Serre de la Pare)"
12 fevrier 2019 ,Cerces - Thabor - Mont Cenis,T,"Haute Durance, Briançonnais ",45.01942,6.606645,35°/100m,RAS sur le secteur malgré le risque 3
12 fevrier 2019 ,Belledonne,SW,Grésivaudan ,45.29704,6.07915,30°/600,"aucune ce jour. Une grosse plaque est partie il y a qq jours au pied des rochers, dans toute la combe NE entre le Rocher d'Arguille et le Passage Odru. Gros volumes déplacé, avec écoulement jusqu'au lac Blanc."
12 fevrier 2019 ,Canigó - Catalogne Est,NE,,42.52375,1.820562,35°,Rien observé de particulier.
12 fevrier 2019 ,Vercors,NW,Trièves Dévoluy ,44.8596,05.5588,45° assez court,RAS
12 fevrier 2019 ,Beaufortain,E,Beaufortain ,45.6745,06.5436,35°/300m,RAS
12 fevrier 2019 ,Chartreuse,E,Chartreuse ,45.4594,5.8581,<25°,RAS
12 fevrier 2019 ,Bauges,N,Bauges ,45.5809,06.0619,35/40° 200m pass 45°,Rien vu
12 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.24319,5.979609,35,RAS a part des quelques coulées en face S raide avec des escargots.
12 fevrier 2019 ,Massif Central,S,,,,"40° sur 100m, 45° /20m",RAS
12 fevrier 2019 ,Belledonne,NE,Maurienne ,45.28305,6.21008,35°/150m,"RAS sur la montée au Sambuis, quelques petites coulées sur le versant sud de la combe du Tépey"
12 fevrier 2019 ,Vercors,E,Vercors ,45.1640,05.6264,pass. 45/50°,RAS
12 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SW,Roya ,44.07005,7.521772,35° max.,"Rien vu, mais des accumulations sur la pente SE du Chanvrairee, que j'ai soigneusement évitées par la gauche en descendant, pour me retrouver sur des pentes de neige plus tranformée."
12 fevrier 2019 ,Chartreuse,W,Chartreuse ,45.2890,5.7664,30° maxi,RAS
12 fevrier 2019 ,Alpes Bernoises W,S,Valais Central ,46.3317,7.52684,max 30°,"RAS sur ce secteur sécurisé, sinon on voit de nombreuses pentes qui se chargent avec le vent du nord qui transporte beaucoup de neige"
12 fevrier 2019 ,Lauzière - Cheval Noir,S,Maurienne ,45.2831,06.4064,30 ° maxi,RAS
12 fevrier 2019 ,Vercors,W,Vercors ,45.1071,05.6038,30° max,ras mais quelques belles accumulations dues au vent
12 fevrier 2019 ,Bornes - Aravis,SE,Faucigny ,46.02791,6.48316,25°,RAS
12 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,N,Faucigny ,46.10695,6.74479,35° max,RAS
12 fevrier 2019 ,Chablais - Faucigny,W,Faucigny ,46.0992,06.4383,30°max,RAS
12 fevrier 2019 ,Belledonne,S,Grésivaudan ,45.24319,5.979609,30° à 35° sur la fin,"RAS (quelques anciennes plaques sur des pentes raides, surtout W)"
12 fevrier 2019 ,Ecrins,NW,Matheysine et périphériques ,44.8703,05.9113,faible,ras
12 fevrier 2019 ,Chartreuse,W,Chartreuse ,45.4093,5.8308,35 max,"RAS, sauf anciennes coulées"
12 fevrier 2019 ,Chartreuse,E,Chartreuse ,45.4093,5.8308,42° sur 300m,RAS. Le fond dur et les 10 à 15cm de poudreuse m'ont paru sains...
12 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.28252,6.074538,30°,"RAS, le vent a fait de belles grosses vagues en rive gauche après la traversée"
12 fevrier 2019 ,Grandes Rousses - Arves,S,Oisans ,45.04929,6.113295,courts passages à 30°,RAS
12 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SW,Vésubie ,44.11325,7.289471,moyenne 30° - surtout en descente,"Rien vu de suspect, bien que le vent ait beaucoup travaillé la neige."
12 fevrier 2019 ,Taillefer - Matheysine,NW,Matheysine et périphériques ,45.0323,05.8576,25° sur 200m,"RAS, le vent a certes travaillé mais pas d'accus significatives."
12 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,46.0141,06.3012,25° max,Néant...
11 fevrier 2019 ,Etna,T,,37.700692,14.9983,35° maxi ,"RAS, pentes inférieures à 35°, manteau bien stabilisé par le vent et le soleil"
11 fevrier 2019 ,Ecrins,SW,Champsaur ,44.6937,06.3706,25-30°,RAS
11 fevrier 2019 ,Bornes - Aravis,E,Faucigny ,46.0455,06.4436,large et tranquille,RAS
11 fevrier 2019 ,Couserans - Catalogne Ouest,NE,,42.67822,0.916030,35° maxi,néant
11 fevrier 2019 ,Chartreuse,S,,,,"35°, pass40° / 150m",RAS
11 fevrier 2019 ,Préalpes de provence,NW,,44.51854,5.93674,faible,ras
10 fevrier 2019 ,Vercors,W,Vercors ,45.0715,05.5788,30-35°,RAS
10 fevrier 2019 ,Grandes Rousses - Arves,SW,Oisans ,45.0571,06.0768,passages 30°,RAS
10 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,E,Haut-Var ,44.10509,6.98696,30 max,RAS
10 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.24319,5.979609,35° max,RAS.  C'est déjà parti. Du coup on ski un dépot d'avalanche sur le bas.
10 fevrier 2019 ,Bornes - Aravis,E,Faucigny ,46.0455,06.4436,large et tranquille,RAS
10 fevrier 2019 ,Beaufortain,T,Beaufortain ,45.6861,06.5802,douce,ras mais vent déjà assez fort sur les crêtes avec transport de neige (5 à 10 cm à 9h seulement...)
10 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,N,Val Stura ,44.34337,7.032601,30° maxi,rien vu de notable
10 fevrier 2019 ,Vercors,E,Trièves Dévoluy ,44.9435,05.5445,40° sur 250m (passages 45°),RAS
10 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.14037,5.88762,40-45,RAS
10 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,T,Tinée ,44.28341,6.866776,38° se relevant à 44° à partir du coude. Haut à 50° sur 60m,Rien en visuel proche. Test sur bloc dans le cône négatif. Le couloir a déjà bien purgé.
10 fevrier 2019 ,Bauges,N,Bauges ,45.63847,6.19243,"40°/550m, pass45°/50°","ras, gros transport en cours sur les crêtes, qui accumule les faces N à E."
10 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.4279,6.1658,Faible,RAS
10 fevrier 2019 ,Bauges,E,Bauges ,45.63847,6.19243,30° maxi,"Ras,rien pour le moment sur le Versant EST Arclusaz."
10 fevrier 2019 ,Vanoise,W,Maurienne ,45.2513,06.4721,30°,"RAS, c'est bien pelé sur la crête après 2200 m, il faut se faire un chemin en évitant les parties pierreuses."
09 fevrier 2019 ,Chablais - Faucigny,SW,,,,25° à 30°,RAS manteau humide et poudre bien lourde
09 fevrier 2019 ,Taillefer - Matheysine,T,Matheysine et périphériques ,45.0323,05.8576,35° (45° court au pas de la Mine),RAS
09 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.14037,5.88762,30,aucune activité
09 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,SE,Ubaye ,44.41269,6.51901,30° maxi,RAS
09 fevrier 2019 ,Belledonne,E,Grésivaudan ,45.24319,5.979609,40° sur 400m,RAS
09 fevrier 2019 ,Valais W - Alpes Pennines W,NE,Valais Central ,45.9260,07.0972,43°/100m 39°/300m,RAS
09 fevrier 2019 ,Bornes - Aravis,NW,Faucigny ,46.0296,06.5727,>35°/350 passages étroits dans la forêt,ras
09 fevrier 2019 ,Vercors,E,Vercors ,45.1640,05.6264,de 30° en bas à 40° en haut du couloir,"rien ce jour. Des vieilles coulées dans le couloir des 3 Pucelles. C'est stable, le manteau est humidifié en profondeur jusqu'a 1600m. A partir de 1800m, poudre compacte."
09 fevrier 2019 ,Devoluy,E,Devoluy ,44.7203,05.8807,35°,ras
09 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SE,Vésubie ,44.07392,7.400557,"45-50°/200m, 40-45°/600m",RAS
09 fevrier 2019 ,Belledonne,SW,Grésivaudan ,45.1870,5.8994,30°,RAS
09 fevrier 2019 ,Préalpes apenzelloises,E,,47.13533,9.45523,25,aucune
09 fevrier 2019 ,Devoluy,T,Buech ,44.6758,05.7570,35°,RAS
09 fevrier 2019 ,Chartreuse,E,Grésivaudan ,45.4074,05.9454,Passages à 35°,RAS
09 fevrier 2019 ,Vanoise,SW,Maurienne ,45.24232,6.4776,35° maxi,conditions compliquées. Rien n'est parti mais fallait pas aller n'importe où...
09 fevrier 2019 ,Chartreuse,T,Chartreuse ,45.31378,5.77518,40°tortueux sur 150m,ras
09 fevrier 2019 ,Massif Central,SE,,45.39000,4.573945,35° max,RAS
09 fevrier 2019 ,Chartreuse,W,Chartreuse ,45.33112,5.84682,Court 45°,RAS ce jour
09 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,45.88,6.23019,40-45°,"Vieilles purges en forêt, sinon rien vu"
09 fevrier 2019 ,Bauges,W,Bauges ,45.73536,6.16264,Court passage à plus de 45°,Rien vu
09 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.14037,5.88762,40-45,RAS
09 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,N,Val Stura ,44.36879,6.983485,40° Maxi,rien vu .....mais mefi le vent a tout ravagé !
09 fevrier 2019 ,Vercors,E,Trièves Dévoluy ,44.8924,05.5480,200m à 35/40°,RAS pour aujourd’hui
09 fevrier 2019 ,Taillefer - Matheysine,SW,Matheysine et périphériques ,44.9160,05.8788,"Faible, quelques passages à 30°",RAS
09 fevrier 2019 ,Chartreuse,W,Chartreuse ,45.3154,05.8090,30° max,RAS juste une bonne accumulation de neige vers 1600m sous Pravouta
09 fevrier 2019 ,Ecrins,W,Champsaur ,44.6891,06.1663,38°sur350m,RAS
09 fevrier 2019 ,Massif Central,T,,44.90528,4.157543,"Moyenne 35°, passages soutenus à 40° et 45°",RAS
09 fevrier 2019 ,Taillefer - Matheysine,W,Matheysine et périphériques ,44.9615,05.8229,35 sur 300m,"RAS, tout m'a semblé sain, sauf sous la crête (corniche vers le Banc)."
09 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,NW,Tinée ,44.28341,6.866776,"38° sur 400m, sortie à 40°",pas mal de plaque causée par le vent ! mais rien est partie !!! oufff !!
09 fevrier 2019 ,Ecrins,NW,Matheysine et périphériques ,44.9375,5.9781,40° sur 200m,"Anciennes coulées datant de plusieurs jours, quelques accumulations encore en place. Rien n'a bougé aujourd'hui."
09 fevrier 2019 ,Vercors,W,Vercors ,45.0715,05.5788,30-35°,ras sur notre tour
09 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.14037,5.88762,50°/5m + 45°/350m + 40°/400m,"RAS, stabilisation en cours..."
09 fevrier 2019 ,Bauges,N,Bauges ,45.7137,06.2753,40°/100m pass45°:50°,ras. Gros volume densifiés stables; mais fort vent qui transporte de la neige dans les versants W et NW. Pas peur pour le moment mais gaffe localement ?
09 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,N,Embrunais ,44.60793,6.55426,30° maxi (en forêt),ras
09 fevrier 2019 ,Bornes - Aravis,NW,Borne-Fier ,45.9231,06.4836,40° 100m,"RAS, quelques anciennes coulée recouvertes"
09 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,NE,Embrunais ,44.5008,6.5517,35° maxi (en forêt),"RAS sur l'itinéraire, mais grosses quantités de neige dans les reliefs à la sortie de la forêt, enfoncement possible du bâton par endroit sur un mètre."
09 fevrier 2019 ,Vercors,W,Vercors ,45.1071,05.6038,30° max,RAS
08 fevrier 2019 ,Beaufortain,N,Vallée de l'Arve ,45.7921,06.7157,40°court 35°soutenue,RAS pas vue de coulées sauf en face sud côté contas
08 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.1870,5.8994,"40°/150 m et plus raide sur 20m à l'entrée, 35°/200m ","Rien vu à la montée,  descente très sombre et J ai rien vu sur l'itinéraire"
08 fevrier 2019 ,Massif Central,T,,45.08953,2.737462,Max 35°,RAS
08 fevrier 2019 ,Chablais - Faucigny,S,Faucigny ,46.11258,6.75028,35° maximum,rien vu
08 fevrier 2019 ,Chablais - Faucigny,N,Chablais ,46.2093,06.5761,45°/150 passage à 50°,RAS
08 fevrier 2019 ,Massif Central,E,,45.55671,2.856820,pente faible,néant !
08 fevrier 2019 ,Chartreuse,W,Grésivaudan ,45.29762,5.84279,30°,Ras sur l'itinéraire et aux alentours.
08 fevrier 2019 ,Queyras - Alpes Cozie N,W,Queyras ,44.77603,6.76762,30 degrés,"RAS. Toujours 30 à 40 cm de gobelets posés sur le sol et recouverts par une croûte dure de quelques centimètres. Au-dessus quelques centimètres de grains anguleux, puis re croûte dure de quelques centimètres, puis 30 à 40 cm de poudre. Pas de wooof aujourd'hui; mais c'est flippant de skier sur un tel empilement ..."
08 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,W,Faucigny ,46.1125,06.7503,faible,"légère plaque partie sous les barres rocheuses, sinon RAS"
08 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,45.8240,6.3342,30° max,RAS
08 fevrier 2019 ,Tessin E - Adula - Grisons,S,,46.087,9.017,25° à 30°,néant
08 fevrier 2019 ,Bauges,N,Bauges ,45.7137,06.2753,40°/100m pass45°:50°,RAS
07 fevrier 2019 ,Bornes - Aravis,SE,Borne-Fier ,45.9774,06.4691,25°,Des coulées sur toutes les orientations
07 fevrier 2019 ,Chablais - Faucigny,S,Faucigny ,46.11258,6.75028,35° maximum,rien vu sauf coulées sous le co' de l'angolon
07 fevrier 2019 ,Bauges,NW,Bauges ,45.73056,6.31889,"50°/100m, 40°/600m",RAS
07 fevrier 2019 ,Jura,SE,,46.24784,5.957915,25°,RAS
06 fevrier 2019 ,Vercors,W,Vercors ,45.1640,05.6264,Faible,"RAS, zone très peu avalancheuse."
06 fevrier 2019 ,Bornes - Aravis,N,Borne-Fier ,45.9231,06.4836,45 °,RAS actuellement. Dans le bas de la face nord de vieilles plaques parties et recouvertes par la chute de neige (dimanche).
06 fevrier 2019 ,Bornes - Aravis,E,Faucigny ,46.0455,06.4436,large et tranquille,RAS
06 fevrier 2019 ,Grandes Rousses - Arves,NE,"Haute Durance, Briançonnais ",45.0423,06.4177,35° maxi,RAS
06 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,N,Tinée ,44.28341,6.866776,40°/100m,aucune mais lourde  en face sud
06 fevrier 2019 ,Bornes - Aravis,E,Borne-Fier ,45.8723,06.4645,50-55° nombreux passages > 55° nombreux passages > 55°,"nombreuses purges surtout dans les orientations sud et quelques purges dans la voie, calme à partir de 11h30-12h (le soleil était passé)"
06 fevrier 2019 ,Chartreuse,SE,Chartreuse ,45.2813,5.7539,35,"ras, ça commence à transformer."
06 fevrier 2019 ,Chartreuse,T,Chartreuse ,45.2582,05.7793,faible,RAS
06 fevrier 2019 ,Bauges,NE,Bauges ,45.5914,06.0965,Passages à 30°,RAS
06 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,SW,Faucigny ,46.0722,6.7479,< 25°  40° / 20 derniers mètres ,aucune
06 fevrier 2019 ,Bauges,NE,Bauges ,45.63847,6.19243,100m 40/45° 250m35/40°,"Quelques plaques de fond parties dans les pentes habituelles mais étonnamment, bien moins que ce que l'on peut voir habituellement. Rien n'est parti dans la face W des Arces, seulement une petite plaque dans la SW d'Armenaz. Par contre, le vallon de la Lanche ressemble à un champ de bataille sur près de 600m de long avec des dépots de plus de 10m par endroits."
06 fevrier 2019 ,Bornes - Aravis,N,Borne-Fier ,46.0023,06.5043,40° sur 100m,RAS
06 fevrier 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",44.7588,6.5291,35° maxi,RAS
06 fevrier 2019 ,Alpes Bernoises W,W,Simmental ,46.54126,7.38525,30/35 en haut,"course tres sure , on voit quelques glissements dans les pentes raides qui chauffent mais sur l itineraire RAS"
